Date,Montreal,Vancouver,Toronto,Regina,Saskatoon,Ottawa,Winnipeg,Calgary,Edmonton
2020-01-23,,,2,,,,,,
2020-01-24,,,0,,,,,,
2020-01-25,,,0,,,,,,
2020-01-26,,,0,,,,,,
2020-01-27,,,0,,,,,,
2020-01-28,,,0,,,,,,
2020-01-29,,,0,,,,,,
2020-01-30,,,0,,,,,,
2020-01-31,,,0,,,,,,
2020-02-01,,,0,,,,,,
2020-02-02,,,0,,,,,,
2020-02-03,,,0,,,,,,
2020-02-04,,,0,,,,,,
2020-02-05,,,0,,,,,,
2020-02-06,,1,0,,,,,,
2020-02-07,,0,0,,,,,,
2020-02-08,,0,0,,,,,,
2020-02-09,,0,0,,,,,,
2020-02-10,,0,0,,,,,,
2020-02-11,,0,0,,,,,,
2020-02-12,,0,0,,,,,,
2020-02-13,,0,0,,,,,,
2020-02-14,,0,0,,,,,,
2020-02-15,,0,0,,,,,,
2020-02-16,,0,0,,,,,,
2020-02-17,,0,0,,,,,,
2020-02-18,,0,0,,,,,,
2020-02-19,,0,0,,,,,,
2020-02-20,,0,0,,,,,,
2020-02-21,,0,1,,,,,,
2020-02-22,,0,0,,,,,,
2020-02-23,,0,0,,,,,,
2020-02-24,0,0,0,,,,,,
2020-02-25,1,0,1,,,,,,
2020-02-26,0,0,1,,,,,,
2020-02-27,0,0,1,,,,,,
2020-02-28,0,0,1,,,,,,
2020-02-29,0,0,1,,,,,,
2020-03-01,1,0,2,,,,,,
2020-03-02,2,0,1,,,,,,
2020-03-03,0,3,1,,,,,,
2020-03-04,0,0,2,,,,,,
2020-03-05,0,2,2,,,,,,
2020-03-06,0,0,2,,,,,,1
2020-03-07,0,1,2,,,,,,
2020-03-08,1,0,4,,,,,,
2020-03-09,1,0,3,,,1,,3,3
2020-03-10,2,3,6,,,,,3,6
2020-03-11,3,4,11,,,,,1,5
2020-03-12,3,2,24,,,3,,,2
2020-03-13,2,3,14,,,1,2,1,7
2020-03-14,5,8,10,,,4,1,9,13
2020-03-15,6,4,17,,,4,0,1,10
2020-03-16,5,11,22,,,,2,5,17
2020-03-17,7,9,19,,,5,1,6,3
2020-03-18,6,15,36,,,4,5,3,23
2020-03-19,36,19,41,1,1,1,1,8,15
2020-03-20,49,21,56,4,0,2,1,13,30
2020-03-21,92,25,21,5,12,4,0,4,26
2020-03-22,88,17,41,1,3,7,1,5,33
2020-03-23,133,15,52,1,9,9,3,14,27
2020-03-24,144,15,53,2,4,8,0,15,38
2020-03-25,188,31,42,5,7,8,5,12,46
2020-03-26,180,11,122,1,3,19,6,4,45
2020-03-27,242,18,111,,,27,26,21,43
2020-03-28,199,15,48,4,10,26,4,16,33
2020-03-29,260,14,40,2,14,11,18,10,23
2020-03-30,265,11,78,2,12,48,9,16,20
2020-03-31,331,9,91,3,6,51,23,35,84
2020-04-01,304,12,105,4,4,37,22,44,63
2020-04-02,409,11,119,1,9,32,10,28,83
2020-04-03,349,7,115,1,8,26,7,18,47
2020-04-04,339,8,128,5,1,18,7,14,33
2020-04-05,261,2,74,1,11,40,1,19,15
2020-04-06,458,18,123,0,4,40,12,10,17
2020-04-07,422,4,201,1,4,25,1,13,25
2020-04-08,373,7,163,4,4,26,1,11,19
2020-04-09,351,5,173,2,3,25,4,7,39
2020-04-10,306,8,145,2,4,37,8,2,43
2020-04-11,261,2,134,0,3,31,0,6,51
2020-04-12,331,1,172,3,2,35,1,4,59
2020-04-13,542,7,268,2,0,16,0,2,64
2020-04-14,467,6,215,0,0,32,1,5,111
2020-04-15,614,1,238,2,0,60,3,10,102
2020-04-16,497,4,295,1,0,21,1,5,131
2020-04-17,571,5,369,1,0,73,4,4,181
2020-04-18,331,9,167,1,1,31,2,3,142
2020-04-19,432,4,204,0,1,38,1,6,154
2020-04-20,483,5,308,0,0,16,1,11,113
2020-04-21,457,30,208,1,1,51,0,4,163
2020-04-22,532,5,220,0,0,35,3,4,232
2020-04-23,527,7,204,0,0,50,1,8,234
2020-04-24,495,7,184,2,0,38,2,12,155
2020-04-25,311,8,141,0,0,53,2,8,134
2020-04-26,283,0,108,1,0,88,1,3,127
2020-04-27,461,10,165,0,0,87,1,2,114
2020-04-28,472,2,188,1,0,65,0,3,135
2020-04-29,520,3,165,0,1,29,1,2,107
2020-04-30,588,6,218,0,2,30,2,5,86
2020-05-01,616,0,190,0,3,42,1,1,106
2020-05-02,525,7,160,1,1,22,0,1,92
2020-05-03,351,3,148,0,4,23,0,2,56
2020-05-04,421,0,156,0,1,14,0,1,66
2020-05-05,470,3,168,0,0,29,0,3,47
2020-05-06,568,6,170,0,1,23,0,,55
2020-05-07,429,6,129,0,0,32,0,2,67
2020-05-08,432,3,150,0,0,17,1,,66
2020-05-09,310,0,126,0,0,12,0,2,70
2020-05-10,299,1,154,0,0,25,0,4,61
2020-05-11,366,1,105,0,0,14,0,,45
2020-05-12,426,2,99,0,0,13,0,2,64
2020-05-13,400,0,168,-1,0,21,0,2,47
2020-05-14,354,0,128,1,0,25,0,,44
2020-05-15,348,0,141,0,0,17,0,1,58
2020-05-16,270,2,188,0,1,19,0,1,45
2020-05-17,343,1,177,0,0,15,1,,41
2020-05-18,333,0,175,0,0,26,0,,34
2020-05-19,320,0,184,0,0,23,0,1,38
2020-05-20,409,0,202,0,1,17,0,2,21
2020-05-21,381,3,162,0,0,11,2,,24
2020-05-22,257,1,150,0,0,7,0,,21
2020-05-23,216,2,171,0,2,6,0,,29
2020-05-24,215,0,154,0,0,8,0,1,22
2020-05-25,205,1,169,0,0,6,0,,13
2020-05-26,240,0,128,0,0,16,2,2,15
2020-05-27,254,2,155,2,0,8,0,3,23
2020-05-28,193,0,174,0,1,4,0,1,23
2020-05-29,193,2,431,0,1,7,0,10,20
2020-05-30,205,0,186,1,0,15,0,5,12
2020-05-31,140,0,124,1,0,10,0,9,21
2020-06-01,156,0,173,1,0,5,0,3,18
2020-06-02,98,0,170,0,0,8,0,5,7
2020-06-03,114,0,190,0,0,8,2,2,14
2020-06-04,129,0,143,0,1,8,0,7,11
2020-06-05,113,0,128,0,0,15,0,22,12
2020-06-06,105,0,137,0,0,2,0,12,11
2020-06-07,76,0,102,0,0,4,0,17,8
2020-06-08,51,1,98,0,3,,0,11,11
2020-06-09,78,4,91,0,1,3,0,16,21
2020-06-10,67,2,132,0,1,7,0,23,24
2020-06-11,67,5,88,0,1,5,1,19,21
2020-06-12,72,5,82,0,1,10,2,13,9
2020-06-13,66,3,92,0,0,6,1,8,23
2020-06-14,28,2,68,0,1,1,0,20,19
2020-06-15,56,3,73,0,3,2,0,21,11
2020-06-16,74,4,88,0,1,3,2,13,21
2020-06-17,52,2,77,0,2,8,2,21,16
2020-06-18,48,1,57,0,0,2,1,26,19
2020-06-19,65,1,65,0,1,5,2,29,17
2020-06-20,33,0,59,0,1,1,0,22,5
2020-06-21,26,3,44,0,0,1,0,10,23
2020-06-22,40,3,54,0,1,6,1,26,12
2020-06-23,38,2,57,0,1,4,0,27,11
2020-06-24,29,6,73,0,0,3,0,10,8
2020-06-25,46,1,46,0,1,6,2,22,12
2020-06-26,42,2,79,0,0,6,2,14,34
2020-06-27,30,4,55,0,0,3,0,23,12
2020-06-28,18,2,59,0,0,2,2,33,31
2020-06-29,16,2,53,0,0,1,1,13,22
2020-06-30,40,5,101,0,0,10,0,14,13
