Day,Montreal,Vancouver,Toronto,Regina,Saskatoon,Ottawa,Winnipeg,Calgary,Edmonton
-30,24,23,124,3,4,22,6,20,3
-29,16,41,173,1,6,14,7,5,14
-28,17,33,170,2,5,20,17,17,20
-27,16,31,190,3,3,19,17,19,17
-26,7,71,143,11,1,18,6,26,14
-25,15,69,128,5,13,15,11,17,15
-24,21,69,137,11,8,2,4,8,19
-23,33,54,102,3,4,10,13,21,33
-22,52,66,98,7,8,20,6,19,17
-21,50,81,91,7,7,12,19,23,44
-20,22,112,132,4,10,14,8,12,43
-19,13,89,88,6,1,6,8,20,39
-18,75,96,82,8,25,14,7,15,30
-17,67,69,92,3,20,16,14,21,59
-16,69,55,68,11,14,8,9,25,37
-15,65,69,73,4,21,8,8,18,102
-14,100,78,88,9,4,12,8,17,62
-13,97,104,77,21,33,11,13,16,52
-12,54,63,57,14,27,6,15,27,52
-11,38,103,65,9,13,2,13,23,79
-10,64,119,59,5,29,26,21,11,60
-9,77,74,44,15,25,8,8,24,55
-8,92,118,54,13,37,15,29,28,50
-7,69,117,57,7,34,23,13,19,51
-6,35,146,73,18,41,24,23,34,36
-5,52,94,46,19,25,16,17,17,31
-4,34,139,79,14,18,16,20,28,42
-3,38,66,55,10,29,13,31,24,23
-2,71,107,59,14,13,19,33,17,26
-1,59,107,53,13,55,23,50,35,44
0,58,104,101,20,25,15,56,21,25
1,51,108,101,39,38,16,29,23,21
2,30,119,62,23,48,20,25,26,16
3,46,93,36,25,76,12,26,48,30
4,65,89,63,31,50,16,31,36,16
5,46,90,44,37,29,13,25,36,32
6,21,71,41,25,24,18,30,51,36
7,46,81,45,16,5,14,36,41,36
8,35,106,124,20,123,24,32,25,14
9,38,78,54,28,64,24,22,51,11
10,34,81,44,32,41,17,31,89,14
11,36,84,63,27,97,26,32,28,32
12,35,67,31,18,56,30,46,52,19
13,38,77,33,25,10,24,73,63,20
14,31,95,36,14,42,15,68,53,23
15,14,106,44,56,170,33,102,61,20
16,13,85,54,52,82,60,74,55,13
17,17,78,31,66,54,47,41,51,20
18,18,71,41,70,28,31,108,49,34
19,22,67,32,69,37,59,122,88,35
20,34,62,31,44,125,41,64,25,47
21,33,74,38,61,158,41,73,45,41
22,20,87,21,73,56,57,20,30,28
23,23,80,40,120,94,47,45,37,17
24,8,63,29,62,125,47,110,64,46
25,28,84,21,67,41,76,118,48,37
26,42,56,19,36,109,55,105,33,96
27,43,47,44,112,50,85,128,46,82
28,26,60,19,83,50,66,106,74,70
29,55,60,18,51,4,38,122,54,32
30,14,55,19,60,205,57,91,59,66
