Day,Montreal,Vancouver,Toronto,Regina,Saskatoon,Ottawa,Winnipeg,Calgary,Edmonton
-30,331,0,308,1,1,21,,11,113
-29,542,0,208,0,1,73,,4,163
-28,467,0,220,0,4,31,,4,232
-27,614,0,204,2,0,38,,8,234
-26,497,0,184,0,1,16,,12,155
-25,571,0,141,0,1,51,,8,134
-24,331,0,108,0,5,35,2,3,127
-23,432,0,165,0,1,50,1,2,114
-22,483,1,188,0,4,38,0,3,135
-21,457,4,165,0,2,53,2,2,107
-20,532,2,218,1,0,88,1,5,86
-19,527,5,190,0,1,87,5,1,106
-18,495,5,160,0,10,65,1,1,92
-17,311,3,148,0,8,29,1,2,56
-16,283,2,156,1,2,30,0,1,66
-15,461,3,168,2,0,42,1,3,47
-14,472,4,170,0,5,22,3,,55
-13,520,2,129,0,1,23,0,2,67
-12,588,1,150,1,3,14,5,,66
-11,616,1,126,1,2,29,6,2,70
-10,525,0,154,2,0,23,26,4,61
-9,351,3,105,4,2,32,4,,45
-8,421,3,99,2,2,17,18,2,64
-7,470,2,168,0,1,12,9,2,47
-6,568,6,128,2,3,25,23,,44
-5,429,1,141,3,11,14,22,1,58
-4,432,2,188,5,1,13,10,1,45
-3,310,4,177,3,1,21,7,,41
-2,299,2,175,4,17,25,7,,34
-1,366,2,184,4,0,17,1,1,38
0,426,5,202,2,3,19,12,2,21
1,400,1,162,0,0,15,1,,24
2,354,5,150,0,2,26,1,,21
3,348,2,171,0,0,23,4,,29
4,270,5,154,0,0,17,8,1,22
5,343,5,169,0,1,11,0,,13
6,333,1,128,0,0,7,1,2,15
7,320,4,155,0,1,6,0,3,23
8,409,5,174,0,1,8,1,1,23
9,381,2,431,0,1,6,3,10,20
10,257,8,186,1,0,16,1,5,12
11,216,8,124,0,0,8,4,9,21
12,215,8,173,0,0,4,2,3,18
13,205,2,170,0,3,7,1,5,7
14,240,5,190,0,2,15,1,2,14
15,254,5,143,0,1,10,0,7,11
16,193,3,128,0,2,5,3,22,12
17,193,5,137,0,0,8,1,12,11
18,205,1,102,0,1,8,2,17,8
19,140,1,98,0,1,8,2,11,11
20,156,4,91,0,0,15,1,16,21
21,98,5,132,0,6,2,1,23,24
22,114,1,88,0,0,4,0,19,21
23,129,4,82,0,3,,1,13,9
24,113,2,92,1,3,3,2,8,23
25,105,2,68,0,2,7,1,20,19
26,76,1,73,3,1,5,0,21,11
27,51,2,88,0,1,10,0,13,21
28,78,1,77,1,1,6,0,21,16
29,67,3,57,1,4,1,0,26,19
30,67,11,65,0,5,2,0,29,17
